dataset_name,evidence_authority_survival_r5_mean,evidence_authority_survival_r5_std,evidence_fail1_delta_mean,evidence_fail1_delta_ci95_lo,evidence_fail1_delta_ci95_hi,evidence_post_recovery_acc_delta_mean,evidence_post_recovery_acc_delta_ci95_lo,evidence_post_recovery_acc_delta_ci95_hi,evidence_survival_r5_delta_mean,evidence_survival_r5_delta_ci95_lo,evidence_survival_r5_delta_ci95_hi,grounded_authority_survival_r5_mean,grounded_authority_survival_r5_std,grounded_fail1_delta_mean,grounded_fail1_delta_ci95_lo,grounded_fail1_delta_ci95_hi,grounded_post_recovery_acc_delta_mean,grounded_post_recovery_acc_delta_ci95_lo,grounded_post_recovery_acc_delta_ci95_hi,grounded_survival_r5_delta_mean,grounded_survival_r5_delta_ci95_lo,grounded_survival_r5_delta_ci95_hi,evidence_gate_authority_survival_r5_mean,evidence_gate_authority_survival_r5_std,evidence_gate_fail1_delta_mean,evidence_gate_fail1_delta_ci95_lo,evidence_gate_fail1_delta_ci95_hi,evidence_gate_post_recovery_acc_delta_mean,evidence_gate_post_recovery_acc_delta_ci95_lo,evidence_gate_post_recovery_acc_delta_ci95_hi,evidence_gate_survival_r5_delta_mean,evidence_gate_survival_r5_delta_ci95_lo,evidence_gate_survival_r5_delta_ci95_hi
arc_easy_val_50,0.285700,0.073553,0.272109,0.244898,0.306123,0.000000,0.000000,0.000000,-0.673500,-0.755100,-0.632700,0.333333,0.071695,0.285715,0.265306,0.326531,0.000000,0.000000,0.000000,-0.612267,-0.653100,-0.551000,0.360567,0.082503,0.129252,0.122449,0.142857,0.000000,0.000000,0.000000,-0.591833,-0.673500,-0.530600
gsm8k,0.681467,0.083639,0.088094,0.046511,0.146341,0.000000,0.000000,0.000000,-0.215133,-0.292600,-0.166700,0.703800,0.162205,0.096215,0.023256,0.146341,0.000000,0.000000,0.000000,-0.208467,-0.341400,-0.069700,0.714300,0.085812,0.047619,0.000000,0.071429,-0.015873,-0.047619,0.000000,-0.206367,-0.261900,-0.119100
