temp,seed,survival_r5_control,survival_r5_persona_mean,delta_survival_r5_persona_minus_control,fail_r1_control,fail_r1_persona_mean,delta_fail_r1_persona_minus_control,recovery_control,recovery_persona_mean,delta_recovery_persona_minus_control,run_dir
temp0,1,82.160804,54.9246232,-27.2361808,11.306532663316583,21.055276381909547,9.748743718592964,78.87323943661971,78.88115928226433,0.007919845644622114,results_paper/qwen_temp0_seed1
temp0p7,1,80.407125,53.0788802,-27.328244799999993,13.231552162849871,20.865139949109416,7.633587786259545,70.12987012987013,78.36475525111716,8.234885121247032,results_paper/qwen_temp0p7_seed1
temp0,2,82.178218,58.3663364,-23.8118816,12.376237623762377,20.434190208011625,8.057952584249248,76.38888888888889,77.12998781443193,0.7410989255430422,results_paper/qwen_temp0_seed2
temp0p7,2,79.900744,54.0446648,-25.856079200000003,12.158808933002481,20.694789081885855,8.535980148883374,64.19753086419753,77.75402223835306,13.556491374155527,results_paper/qwen_temp0p7_seed2
temp0,mean_seed1-2,82.169511,56.645479800000004,-25.5240312,11.84138514353948,20.744733294960586,8.903348151421106,77.6310641627543,78.00557354834814,0.3745093855938322,(aggregate)
temp0p7,mean_seed1-2,80.15393449999999,53.561772500000004,-26.592162,12.695180547926176,20.779964515497635,8.08478396757146,67.16370049703383,78.05938874473512,10.89568824770128,(aggregate)
