alias,model,status,nrc_survival_r5,persona_survival_r5,delta_survival_r5,nrc_fail1,persona_fail1,delta_fail1,nrc_recovery,persona_recovery,delta_recovery,num_personas
qwen7b_math_control_authority_evidence_gsm8k_svamp_gpu5_20260310,Qwen2.5-7B-Instruct,OK,0.912088,0.670330,-0.241758,0.087912,0.186813,0.098901,1.000000,1.000000,0.000000,1
qwen7b_nonmath_control_authority_evidence_arc_gpu6_20260310,Qwen2.5-7B-Instruct,OK,0.938776,0.244898,-0.693878,0.040816,0.265306,0.224490,1.000000,1.000000,0.000000,1
