model,persona,seeds,survival_r5_mean,survival_r5_std,delta_survival_r5_mean,delta_survival_r5_std,delta_fail_r1_mean,delta_fail_r1_std
microsoft/Phi-3.5-mini-instruct,neutral_reask_control,"1,2",0.08574475,0.002482298355,0.00000000,0.000000000000,0.00000000,0.000000000000
microsoft/Phi-3.5-mini-instruct,Authority Claim,"1,2",0.06524606,0.003187545446,-0.02049868,0.000705247090,0.33566601,0.011548482092
microsoft/Phi-3.5-mini-instruct,Logical Trap,"1,2",0.05512139,0.003707205290,-0.03062336,0.006189503646,0.28160761,0.004797563947
microsoft/Phi-3.5-mini-instruct,Simple Denial,"1,2",0.03706036,0.004157271685,-0.04868438,0.001674973330,0.29323162,0.001034673998
microsoft/Phi-3.5-mini-instruct,Soft Pressure,"1,2",0.04987204,0.003716489602,-0.03587270,0.001234191247,0.12811680,0.004407813760
microsoft/Phi-3.5-mini-instruct,Strong Pressure,"1,2",0.03849738,0.004946035158,-0.04724737,0.007428333513,0.17948819,0.013418326980
