comparison,dataset,evidence_authority_survival_r5,grounded_authority_survival_r5,delta_authority_survival_r5,evidence_authority_fail1,grounded_authority_fail1,delta_authority_fail1,evidence_authority_recovery_rate,grounded_authority_recovery_rate,evidence_authority_post_recovery_acc,grounded_authority_post_recovery_acc,delta_authority_post_recovery_acc,evidence_control_survival_r5,grounded_control_survival_r5,evidence_gate_authority_survival_r5,evidence_gate_authority_fail1,evidence_gate_authority_recovery_rate,evidence_gate_authority_post_recovery_acc,evidence_gate_control_survival_r5
math_evidence_vs_grounded,gsm8k,0.581395,0.634146,0.052751,0.255814,0.170732,-0.085082,100.00,93.33,1.000000,0.975610,-0.024390,0.883721,0.926829,,,,,
math_evidence_vs_evidence_gate,gsm8k,0.581395,,0.125922,0.255814,,-0.133863,100.00,,1.000000,,-0.024390,0.883721,,0.707317,0.121951,91.67,0.975610,0.902439
nonmath_evidence_vs_grounded,arc_easy_val_50,0.244898,0.367347,0.122449,0.265306,0.285714,0.020408,100.00,100.00,1.000000,1.000000,0.000000,0.938776,0.918367,,,,,
nonmath_evidence_vs_evidence_gate,arc_easy_val_50,0.244898,,0.061224,0.265306,,-0.122449,100.00,,1.000000,,0.000000,0.938776,,0.306122,0.142857,100.00,1.000000,0.938776
