model,persona,seeds,survival_r5_mean,survival_r5_std,delta_survival_r5_mean,delta_survival_r5_std,delta_fail_r1_mean,delta_fail_r1_std
meta-llama/Llama-3.2-3B-Instruct,neutral_reask_control,"1,2",0.08628782,0.011320758354,0.00000000,0.000000000000,0.00000000,0.000000000000
meta-llama/Llama-3.2-3B-Instruct,Soft Pressure,"1,2",0.02381445,0.005604995038,-0.06247337,0.016925753392,0.03049757,0.007537330094
meta-llama/Llama-3.2-3B-Instruct,Simple Denial,"1,2",0.03249931,0.006677251761,-0.05378851,0.004643506592,0.03059112,0.007426283751
meta-llama/Llama-3.2-3B-Instruct,Strong Pressure,"1,2",0.04503785,0.002981947078,-0.04124997,0.008338811276,0.03658345,0.001347961295
meta-llama/Llama-3.2-3B-Instruct,Authority Claim,"1,2",0.03887823,0.012871556662,-0.04740958,0.024192315015,0.05247798,0.019507150988
meta-llama/Llama-3.2-3B-Instruct,Logical Trap,"1,2",0.09647655,0.017125143362,0.01018874,0.028445901716,-0.00032247,0.005414916841
