model,persona,seeds,survival_r5_mean,survival_r5_std,delta_survival_r5_mean,delta_survival_r5_std,delta_fail_r1_mean,delta_fail_r1_std
mistralai/Mistral-Nemo-Instruct-2407,neutral_reask_control,"1,2",0.32539990,0.047705991369,0.00000000,0.000000000000,0.00000000,0.000000000000
mistralai/Mistral-Nemo-Instruct-2407,Authority Claim,"1,2",0.16809061,0.033742916395,-0.15730929,0.013963074974,0.14712829,0.054827857732
mistralai/Mistral-Nemo-Instruct-2407,Logical Trap,"1,2",0.09285941,0.004406434902,-0.23254049,0.043299556467,0.12939093,0.020986702991
mistralai/Mistral-Nemo-Instruct-2407,Simple Denial,"1,2",0.28995991,0.016011923943,-0.03543999,0.063717915312,0.00138426,0.015555840069
mistralai/Mistral-Nemo-Instruct-2407,Soft Pressure,"1,2",0.14304994,0.020993724562,-0.18234997,0.026712266807,0.05576228,0.052589560713
mistralai/Mistral-Nemo-Instruct-2407,Strong Pressure,"1,2",0.20263753,0.041805015574,-0.12276237,0.005900975795,0.01884874,0.003992459237
