model,persona,seeds,survival_r5_mean,survival_r5_std,delta_survival_r5_mean,delta_survival_r5_std,delta_fail_r1_mean,delta_fail_r1_std
01-ai/Yi-6B-Chat,neutral_reask_control,"1,2",0.44544933,0.014570479699,0.00000000,0.000000000000,0.00000000,0.000000000000
01-ai/Yi-6B-Chat,Authority Claim,"1,2",0.17905543,0.028368572518,-0.26639389,0.013798092819,0.32174992,0.042022675003
01-ai/Yi-6B-Chat,Logical Trap,"1,2",0.11634021,0.010682403565,-0.32910911,0.003888076134,0.29073018,0.020618602221
01-ai/Yi-6B-Chat,Simple Denial,"1,2",0.22902396,0.054812753931,-0.21642536,0.069383233629,0.25886807,0.040648101522
01-ai/Yi-6B-Chat,Soft Pressure,"1,2",0.12446773,0.013326813221,-0.32098160,0.027897292919,0.21707335,0.006624135063
01-ai/Yi-6B-Chat,Strong Pressure,"1,2",0.21719369,0.000536736473,-0.22825564,0.015107216172,0.22986633,0.012200976044
